enunciado,nivel,respuesta_correcta,respuesta_posible1,respuesta_posible2,respuesta_posible3
Cuales son tipos de datos primitivos para numero enteros en JAVA?;1;byte,short,int,long;int,long,float,double;integer,double;int,float,double
En que paquete se encuentra la clase String?;1;java.lang;java.util;java.class;java.net
Cual es la clase Wrapper para el tipo primitivo char?;1;Character;Char;String;ChartAt
Seleccione el codigo que crea un objeto tipo Scanner;1;new Scanner(System.in);new Scanner();new Scanner(System.out);new Scanner("in");
Seleccione los pilares del paradigma orientado a objetos;1;Abstraccion,Encapsulamiento,Herencia,Polimorfismo;Abstraccion,Encapsulamiento,Herencia;Abstraccion,Encapsulamiento,Herencia,Mantenibilidad;Abstraccion,Encapsulamiento,Reusabilidad,Polimorfismo;
Abstraccion es:;2;Identificar las caracteristicas escenciales;Enforcarse en el mas pequeno detalle;Capacidad para comportarse diferente;Tener multiples implementaciones
Selecciones los pilares de POO presentes en una clase;2;Abstraccion y Encapsulamiento;Abstraccion y Herencia;Polimorfismo;Encapsulamiento y reusabilidad
Cual de los siguientes enunciados es FALSO respecto al constructor;2; tiene tipo de dato void;lleva el nombre de la clase;puede tener cualquier numero de parametros;crea e inicializa las variables del objeto
Seleccione el enunciado verdadero respecto a sobrecarga de metodos;2;es la creacion de varios metodos con el mismo nombre pero con diferente lista de tipos de parametros;a creacion de varios metodos con el mismo nombre pero con diferente tipo de retorno;es la creacion de varios metodos que inician con nombre overload;es escribir un metodo con el igual nombre y parametros pero cambiando el contenido
La seccion de memoria donde se almacenan los objetos es:;2;heap;stack;full;cache
Sobreescritura es:;3;Proporcionar un codigo diferente a un metodo heredado;Escribir un nuevo metodo que inicie con nombre override_;Proceso por el cual una clase cambia sus atributos;Crear un constructor sin parametros
Seleccione el enunciado verdadero;3;Metodos estaticos no pueden sobreescribirse;Constructor protected se hereda;Siempre hay que escribir un constructor;Solo metodos publicos se pueden sobreescribir
La clase abstracta:;3;Puede tener o no metodos abstractos;Siempre tiene un metodo abstracto;Permiten crear instancias de esa clase;No puede ser heredada
Una interfaz;3;Tiene solo metodos abstractos y constantes;Tienen variables de instancia;Permiten crear instancias de la interfaz;Puede implementar otra interfaz
Enlace dinamico es;3;el mecanismo en el cual la llamada a un metodo sobrescrito es resuelta en tiempo de ejecucion;Cuando una variable se asocia a un tipo de una clase;Cuando se llama a un metodo sobreescrito;Cuando se llama a un metodo sobrecargado
